user_id,wine_id
1,147
1,148
1,149
1,150
1,152
1,153
1,141
1,142
1,143
1,144
1,145
1,146
1,135
1,136
1,137
1,138
1,139
1,140
1,102
1,103
1,104
1,105
1,106
1,107
1,67
1,68
1,69
1,70
1,71
1,72
1,59
1,60
1,63
1,64
1,65
1,66
1,55
1,56
1,57
1,58
1,61
1,62
1,49
1,50
1,51
1,52
1,53
1,54
1,43
1,44
1,45
1,46
1,47
1,48
1,37
1,38
1,39
1,40
1,41
1,42
1,31
1,32
1,33
1,34
1,35
1,36
1,25
1,26
1,27
1,28
1,29
1,30
1,19
1,20
1,21
1,22
1,23
1,24
1,13
1,14
1,15
1,16
1,17
1,18
1,7
1,8
1,9
1,10
1,11
1,12
1,1
1,2
1,3
1,4
1,5
1,6
2011558,147
2011558,148
2011558,149
2011558,150
2011558,152
2011558,153
2011558,141
2011558,142
2011558,143
2011558,144
2011558,145
2011558,146
2011558,135
2011558,136
2011558,137
2011558,138
2011558,139
2011558,140
2011558,102
2011558,103
2011558,104
2011558,105
2011558,106
2011558,107
2011558,67
2011558,68
2011558,69
2011558,70
2011558,71
2011558,72
2011558,59
2011558,60
2011558,63
2011558,64
2011558,65
2011558,66
2011558,55
2011558,56
2011558,57
2011558,58
2011558,61
2011558,62
2011558,49
2011558,50
2011558,51
2011558,52
2011558,53
2011558,54
2011558,43
2011558,44
2011558,45
2011558,46
2011558,47
2011558,48
2011558,37
2011558,38
2011558,39
2011558,40
2011558,41
2011558,42
2011558,31
2011558,32
2011558,33
2011558,34
2011558,35
2011558,36
2011558,25
2011558,26
2011558,27
2011558,28
2011558,29
2011558,30
2011558,19
2011558,20
2011558,21
2011558,22
2011558,23
2011558,24
2011558,13
2011558,14
2011558,15
2011558,16
2011558,17
2011558,18
2011558,7
2011558,8
2011558,9
2011558,10
2011558,11
2011558,12
2011558,1
2011558,2
2011558,3
2011558,4
2011558,5
2011558,6
3868055,43
3868055,44
3868055,45
3868055,46
3868055,47
3868055,48
3868055,37
3868055,38
3868055,39
3868055,40
3868055,41
3868055,144
3868055,19
3868055,20
3868055,21
3868055,22
3868055,23
3868055,24
3868055,102
3868055,103
3868055,104
3868055,105
3868055,106
3868055,107
3868055,67
3868055,68
3868055,69
3868055,70
3868055,71
3868055,72
